Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon , woodpecker , vulture . And the other : woodpecker , hawk , vulture , pigeon , parrot .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot , pigeon , woodpecker . And the other : crow , parrot , woodpecker , hawk , pigeon .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk , parrot , pigeon . And the other : pigeon , hawk , parrot , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow , hawk , parrot . And the other : parrot , heron , crow , eagle , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle , crow , hawk . And the other : eagle , sparrow , crow , hawk , heron .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana , peach , grape . And the other : apple , grape , peach , pear , banana .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear , banana , peach . And the other : apricot , peach , apple , banana , pear .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple , pear , banana . And the other : apricot , lemon , apple , pear , banana .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot , apple , pear . And the other : lemon , pear , apricot , apple , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon , apricot , apple . And the other : apricot , plum , grapefruit , lemon , apple .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit , lemon , apricot . And the other : cherry , apricot , plum , grapefruit , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum , grapefruit , lemon . And the other : lemon , grapefruit , grape , plum , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry , plum , grapefruit . And the other : grape , peach , plum , grapefruit , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape , cherry , plum . And the other : grape , banana , cherry , plum , peach .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach , grape , cherry . And the other : banana , cherry , pear , peach , grape .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails , level , plane . And the other : saw , hammer , plane , level , nails .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw , nails , level . And the other : level , hammer , saw , nails , screws .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer , saw , nails . And the other : nails , screws , hammer , drill , saw .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws , hammer , saw . And the other : wrench , drill , screws , hammer , saw .
Before the meeting , Mary wrote down the following lists of words . One was : ruler , wrench , drill , screws , hammer . And the other : ruler , hammer , wrench , drill , screws .
Before the meeting , Mary wrote down the following lists of words . One was : chisel , ruler , wrench , drill , screws . And the other : wrench , chisel , ruler , drill , screws .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler , wrench , drill . And the other : plane , wrench , ruler , drill , chisel .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel , ruler , wrench . And the other : chisel , plane , level , ruler , wrench .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane , chisel , ruler . And the other : level , ruler , chisel , nails , plane .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level , plane , chisel . And the other : chisel , saw , level , nails , plane .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain , snow , hail . And the other : hurricane , hail , rain , snow , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado , rain , snow . And the other : snow , hurricane , rain , sunshine , tornado .
